Name,AveragePay
Community Planning,99063.9
Library And Archives Student Trainee,28257.46
Recreation Aid And Assistant,37465.8
Botany,74744.98
Industrial Equipment Mechanic,74853.14
Law Clerk,66435.76
Misc Transportation/mobile Equipment Ope,40577.56
Secretary,57355.53
Tractor Operating,44346.94
Cartographic Technician,53704.81
Lead Auto Tech (ag),65208.29
Postmaster (ptpo),36229.95
Electrical Power Controlling,92940.24
Astronomy And Space Science,137256.98
Admin Assist (fld),55694.75
Museum Curator,98286.84
Supv Trans Operatns,68225.27
Geophysics,114585.12
Pathology Technician,51505.12
Mailing Reqrmnt Clk,57944.8
Agricultural Engineering,86012.94
Fish And Wildlife Administration,131370.21
Kinesiotherapy,69523.91
Equipment Operator,39434.65
Oceanography,115966.73
Metal Forming Machine Operating,53353.23
Petroleum Engineering,97816.96
Chemical Engineering,113908
Grp Ldr Custodial,54696.21
Respiratory Therapist,48889.83
Electronic Industrial Controls Mechanic,80573.91
Patent Administration,161748.27
Library Technician,52451.53
Plumbing,61850.63
Patent Attorney,162829.53
Dental Laboratory Aid And Technician,55170.77
Land Surveying,79985
Pm Relief/replcmnt,27054.98
Network Spec,67179.97
Dispatching,41656.63
Aircraft Operation,105959.1
Computer Operation,53688.4
Nuclear Materials Courier,66414.7
Electronics Mechanic,68523.66
Cmplnt & Inqry Clk,57639.11
Orthotist And Prosthetist,71817.22
Addrs Mgt Sys Tech,57756.31
Navigational Information,103754.89
Purch And Suply Mgt,61785.22
Social Science Student Trainee,44359.98
Landscape Architecture,88172.99
History,94645.67
Funeral Directing,71766.27
Pse Labr Custd Nw,27136
Animal Caretaking,41460.31
Sack Sort Mach Opr,55752.72
Agricultural Program Specialist,91838.96
Meteorological Technician,76301.77
Per Proc Spc (hrss),56454.09
Miscellaneous Plant And Animal Work,45293.7
Labor Relation Spcl,74411.41
Lead Cust Svc Clk,56752.36
Labor-management Relations Examining,108622.64
Vehicle Opns Asstbm,57960.01
Fingerprint Identification,65929.91
General Clerk Vmf,56532.3
Safety Specialist,67577.84
Plant Pathology,107467.18
Ops Ind Engr (fld),72299.81
Physiology,109739.27
Actuarial Science,120226.72
Custodian,52826.41
Financial Management Student Trainee,34694.9
Sports Specialist,59927.35
Trng Tech Pedc,57877.86
Therapeutic Radiologic Technologist,78860.74
Photography,78794.32
United States Marshal,87758.5
Masonry,50547.78
Laundry Machine Operating,42289.71
Pse Mark Up Clerk,32010
Exhibits Specialist,73035.26
Workforce Development,103357.72
Highway Safety,103175.24
Supv Bus Mail Entry,67632.4
Interior Design,78846.42
Postmaster (f),49662.54
Heavy Mobile Equipment Mechanic,62082.28
Ramp Clk Amf,59213.25
Supv Veh Maint,68037.05
Hrm Spc (dist),66066.89
Social Services,49480.59
Equal Opportunity Assistance,50606.12
Storekpr Auto Parts,58324.27
Mgr Dist Ops,73716.52
Food Services,81718.17
Window Clk,56865.29
Human Resources Management Student Train,38272.9
Hospital Housekeeping Management,85508.93
Veh Op & Maint Asst,59808.46
Miscellaneous Printing And Reproduction,52301.29
Agronomy,94334.81
Utility Systems Operating,58020.82
Bindery Working,63069.9
Postage Due Techn,57888.44
Field Sales Rep,63535.91
Air Traffic Assistance,60282.9
Information Technology Student Trainee,38512.3
Land Law Examining,64072.74
Ml Procsg Mach Oper,55601.24
Legal Occupations Student Trainee,37515.73
Telecommunications Processing,39750.73
Body And Fender Rep,60208.05
Letterpress Operating,102021.31
Safety Engineering,103315.25
Traffic Management,89755.01
Bulk Money Handling,52524.38
Mediation,121717.27
Mgr Post Offc Oper,56199.68
International Relations,113085.43
Mathematics,127882.29
Property Disposal,84952.07
Acct Spec,63891.3
Securities Compliance Examining,162940.12
Mgr Maint Oper,81328.91
Prs Pr Spc Tmp Ss,43622
Driving Safety Inst,57847.26
Air Conditioning Equipment Operating,57394.54
Lead Sls/svcs Assoc,57142.25
Fld Financial Spec,77441.3
Attorney,36111.58
Supv Cust Serv Supp,68583.05
Hand Composing,76707.43
Mgr Vhcl Maint Fclt,75886.39
Comp Sys Anlyst/prg,77692.17
Bsn Representative,65205.78
Business And Industry Student Trainee,37517.57
Foreign Agricultural Affairs,123929.44
Misc Electrical Installation & Maintenan,89335.32
Welding,59934.38
,80247.63
Plant Physiology,116360.35
Review Clk,57877.01
Info Systems Spclst,73551.22
Design Patent Examining,105886.2
Survey Technical,45843.3
Spec Postal Clk,57975.38
Industrial Engineering,93553.8
Machining,63202.54
Intaglio Press Operating,106170.95
Pse Motor Veh Oper,37390.75
Electronic Integrated Systems Mechanic,95829.04
Contract Technician,57733.78
Fire Protection Engineering,114145.28
Tool&parts Clk,55794.15
